chez-10.3.0+r7rs,ctak:32:16:8:1,0.895814733
chez-10.3.0+r7rs,fib:40:5,4.017045452
chez-10.3.0+r7rs,fibc:30:10,0.588504023
chez-10.3.0+r7rs,fibfp:35.0:10,2.404286822
chez-10.3.0+r7rs,sum:10000:200000,2.649484505
chez-10.3.0+r7rs,sumfp:1000000.0:500,4.066757002
chez-10.3.0+r7rs,fft:65536:100,2.57104664
chez-10.3.0+r7rs,mbrot:75:1000,7.154646967
chez-10.3.0+r7rs,mbrotZ:75:1000,5.663926211
chez-10.3.0+r7rs,nucleic:50,2.06771086
chez-10.3.0+r7rs,pi:50:500:50:100,0.414509564
chez-10.3.0+r7rs,pnpoly:1000000,4.318723216
chez-10.3.0+r7rs,ray:50,2.404462414
chez-10.3.0+r7rs,simplex:1000000,2.173694367
chez-10.3.0+r7rs,ack:3:12:2,2.036888484
chez-10.3.0+r7rs,array1:1000000:500,5.78287546
chez-10.3.0+r7rs,string:500000:100,3.133871485
chez-10.3.0+r7rs,sum1:25,0.990801091
chez-10.3.0+r7rs,cat:50,2.036815352
chez-10.3.0+r7rs,tail:50,2.379045148
chez-10.3.0+r7rs,wc:inputs/bib:50,1.371428247
chez-10.3.0+r7rs,read1:2500,0.712704636
chez-10.3.0+r7rs,compiler:2000,1.969134774
chez-10.3.0+r7rs,conform:500,1.735108355
chez-10.3.0+r7rs,dynamic:500,1.957934509
chez-10.3.0+r7rs,earley:1,3.603502055
chez-10.3.0+r7rs,graphs:7:3,2.092596245
chez-10.3.0+r7rs,lattice:44:10,3.065985718
chez-10.3.0+r7rs,matrix:5:5:2500,1.219920546
chez-10.3.0+r7rs,maze:20:7:10000,0.821270443
chez-10.3.0+r7rs,mazefun:11:11:10000,1.949883068
chez-10.3.0+r7rs,nqueens:13:10,5.237094656
chez-10.3.0+r7rs,paraffins:23:10,5.493741354
chez-10.3.0+r7rs,parsing:2500,2.297496696
chez-10.3.0+r7rs,peval:2000,1.952841967
chez-10.3.0+r7rs,primes:1000:10000,0.920508458
chez-10.3.0+r7rs,quicksort:10000:2500,3.830173739
chez-10.3.0+r7rs,scheme:100000,2.130222519
chez-10.3.0+r7rs,slatex:500,3.300680719
chez-10.3.0+r7rs,chudnovsky:50:500:50:1000,0.206250997
chez-10.3.0+r7rs,nboyer:5:1,2.232977028
